,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
19,20,Basile,Firth,M,72,334972800000000000,Project Manager,Manufacturing,Mass Customer,N,No,11
20,21,Mile,Cammocke,M,74,338256000000000000,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16
21,22,Deeanne,Durtnell,F,79,-222825600000000000,Business Systems Development Analyst,IT,Mass Customer,N,No,11
22,23,Olav,Polak,M,43,792374400000000000,Business Systems Development Analyst,Manufacturing,High Net Worth,N,Yes,1
23,24,Kim,Skpsey,F,55,249955200000000000,Research Assistant I,Argiculture,Mass Customer,N,Yes,15
24,25,Geoff,Assaf,M,72,218332800000000000,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21
25,26,Trixi,Ginnelly,F,12,266284800000000000,Editor,Financial Services,Mass Customer,N,Yes,16
26,27,Garvin,Klees,M,37,275529600000000000,Research Nurse,Health,Mass Customer,N,Yes,12
27,28,Fee,Zellmer,M,5,118195200000000000,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21
28,29,Mona,Sancraft,F,62,-48211200000000000,Safety Technician III,Manufacturing,Mass Customer,N,No,19
29,30,Darrick,Helleckas,M,18,-258940800000000000,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,6
30,31,Star,Praton,F,3,-224208000000000000,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14
31,32,Marion,Vanichkin,F,17,798336000000000000,Legal Assistant,Manufacturing,Affluent Customer,N,No,4
32,33,Ernst,Hacon,M,44,-395107200000000000,Product Engineer,Manufacturing,Affluent Customer,N,Yes,11
33,34,Jephthah,Bachmann,U,59,-3977164800000000000,Legal Assistant,IT,Affluent Customer,N,No,20
34,35,Margaretha,Strettle,F,40,-197596800000000000,Information Systems Manager,Health,High Net Worth,N,Yes,16
35,36,Lurette,Stonnell,F,33,247881600000000000,VP Quality Control,Manufacturing,Affluent Customer,N,No,22
36,37,Laurie,Dwerryhouse,F,46,504057600000000000,Social Worker,Health,High Net Worth,N,No,16
37,38,Cordi,Merman,F,37,-447379200000000000,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20
38,39,Hunfredo,Smalley,M,5,293068800000000000,Assistant Media Planner,Entertainment,Mass Customer,N,No,22
39,40,Tomasine,Jerche,F,91,372988800000000000,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14
40,41,Basilius,Coupe,M,64,198288000000000000,Food Chemist,Health,Mass Customer,N,No,16
41,42,Chiquita,Durnall,F,24,228355200000000000,Accountant III,Manufacturing,Mass Customer,N,No,18
42,43,Indira,Belt,F,38,415324800000000000,Director of Sales,Retail,Mass Customer,N,No,5
43,44,Neron,Verick,M,63,372211200000000000,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17
44,45,Trace,Woodhead,M,64,180662400000000000,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8
45,46,Kaila,Allin,F,98,67910400000000000,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,15
46,47,Matthew,Jeaycock,M,51,719712000000000000,Registered Nurse,Health,Affluent Customer,N,No,2
47,48,Rebbecca,Casone,F,46,177292800000000000,Biostatistician II,Manufacturing,Mass Customer,N,Yes,8
48,49,Nolly,Ownsworth,M,63,759542400000000000,VP Quality Control,Manufacturing,Affluent Customer,N,No,1
49,50,Whitby,Schapero,M,38,339206400000000000,Account Executive,Manufacturing,Mass Customer,N,Yes,16
50,51,Fidelio,Dilke,M,68,-317952000000000000,Computer Systems Analyst II,Retail,Mass Customer,N,No,18
51,52,Curran,Bentson,M,57,582940800000000000,Business Systems Development Analyst,Financial Services,Mass Customer,N,Yes,13
52,53,Agnella,Gocke,F,22,-495676800000000000,Software Test Engineer II,Financial Services,Mass Customer,N,No,16
53,54,Loralyn,Wonfor,F,2,-108604800000000000,Sales Associate,Property,Mass Customer,N,Yes,18
54,55,Linc,Jillions,M,48,-418780800000000000,Paralegal,Financial Services,Affluent Customer,N,Yes,7
55,56,Reese,Ensor,M,44,836438400000000000,VP Sales,Property,Mass Customer,N,Yes,4
56,57,Abba,Masedon,M,87,582163200000000000,Chief Design Engineer,Manufacturing,Mass Customer,N,Yes,13
57,58,Dalenna,Pinnock,F,26,-78796800000000000,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17
58,59,Niki,Heathcote,M,60,949968000000000000,Physical Therapy Assistant,Manufacturing,High Net Worth,N,No,3
59,60,Nadiya,Champerlen,F,18,2937600000000000,Business Systems Development Analyst,Manufacturing,Mass Customer,N,No,10
60,61,Kacey,Rowbottom,F,47,-318470400000000000,Help Desk Operator,Property,High Net Worth,N,No,13
61,62,Sorcha,Roggers,F,38,300067200000000000,Business Systems Development Analyst,IT,Mass Customer,N,Yes,22
62,63,Ebony,Zini,F,58,-141955200000000000,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16
63,64,Gerek,Yve,M,73,259632000000000000,Legal Assistant,IT,High Net Worth,N,No,4
64,65,Yale,Tanser,M,21,197164800000000000,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15
65,66,Anselm,Gawne,M,46,1015804800000000000,Account Executive,Argiculture,High Net Worth,N,No,1
66,67,Vernon,,M,67,-301363200000000000,Web Developer II,Retail,Mass Customer,N,No,18
67,68,Dahlia,Eddoes,F,37,135734400000000000,Information Systems Manager,Manufacturing,Affluent Customer,N,No,9
68,69,Heidi,Milner,F,16,-16675200000000000,Web Developer II,Manufacturing,Mass Customer,N,No,6
69,70,Foster,Vannoort,M,78,730771200000000000,Paralegal,Financial Services,Affluent Customer,N,No,8
70,71,Hoyt,Glavias,M,30,475632000000000000,Research Associate,Argiculture,Affluent Customer,N,Yes,12
71,72,Sammy,Cheese,M,93,66787200000000000,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16
72,73,Minette,Worters,F,16,-302918400000000000,Teacher,Manufacturing,Affluent Customer,N,Yes,5
73,74,Pansy,Kiddie,F,94,-16934400000000000,Business Systems Development Analyst,Manufacturing,Mass Customer,N,Yes,6
74,75,Dollie,Sealy,F,28,269308800000000000,VP Product Management,Property,Mass Customer,N,No,19
75,76,Rea,Hasser,F,20,254361600000000000,Statistician II,Retail,High Net Worth,N,Yes,18
76,77,Shermie,Andrin,M,79,621561600000000000,Automation Specialist IV,Financial Services,Mass Customer,N,No,7
77,78,Arch,Van der Kruis,M,37,479433600000000000,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8
78,79,Tybi,Silliman,F,76,-39398400000000000,Account Executive,Manufacturing,Mass Customer,N,No,18
79,80,Pablo,Small,M,11,262224000000000000,Data Coordiator,Entertainment,Mass Customer,N,No,13
80,81,Bee,Blazewicz,F,58,526176000000000000,Business Systems Development Analyst,Health,High Net Worth,N,No,13
81,82,Gleda,Cokely,F,93,-142387200000000000,Software Test Engineer III,Property,High Net Worth,N,No,19
82,83,Kerr,Simmell,M,97,-89856000000000000,Internal Auditor,IT,Mass Customer,N,Yes,18
83,84,Rich,Mathiasen,M,78,-375494400000000000,Accountant III,Manufacturing,Mass Customer,N,Yes,14
84,85,Kane,Tixall,M,1,-366595200000000000,Analyst Programmer,Manufacturing,Mass Customer,N,No,8
85,86,Job,Sleney,M,75,604972800000000000,Occupational Therapist,Health,High Net Worth,N,Yes,7
86,87,Fields,Langdon,M,78,135907200000000000,Editor,Financial Services,Mass Customer,N,No,8
87,88,Malynda,Tumber,F,41,-123379200000000000,Help Desk Operator,Property,High Net Worth,N,Yes,7
88,89,Benedicto,Hoxey,M,74,-92880000000000000,Speech Pathologist,Health,Mass Customer,N,Yes,14
89,90,Cary,Garron,M,76,469065600000000000,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11
90,91,Dylan,Meaker,M,69,-468720000000000000,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17
91,92,Jodee,Judkins,F,98,337478400000000000,Recruiting Manager,Health,Mass Customer,N,No,12
92,93,Gordon,Gowar,M,63,206323200000000000,Project Manager,Retail,Mass Customer,N,Yes,10
93,94,Wallache,Simchenko,M,33,145065600000000000,Civil Engineer,Manufacturing,Mass Customer,N,No,21
94,95,Nomi,Mallinder,F,67,-284601600000000000,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8
95,96,Heath,Olford,M,33,-42163200000000000,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15
96,97,Arne,Corain,M,16,301881600000000000,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10
97,98,Allianora,Babalola,F,19,-435283200000000000,Safety Technician IV,Health,Mass Customer,N,No,7
98,99,Reggie,Mulliner,M,97,897696000000000000,VP Accounting,Financial Services,Mass Customer,N,No,3
99,100,Tripp,Steed,M,80,-51840000000000000,General Manager,Financial Services,Mass Customer,N,Yes,4
100,101,Goran,Kwietek,M,83,189043200000000000,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11
101,102,Langsdon,Tranfield,M,51,-413251200000000000,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16
102,103,Ethyl,Runham,F,49,861580800000000000,Product Engineer,Financial Services,Affluent Customer,N,Yes,4
103,104,Odille,Panketh,F,40,265939200000000000,Automation Specialist II,Health,Mass Customer,N,Yes,9
104,105,Maribeth,Pristnor,F,25,1000684800000000000,Recruiting Manager,Manufacturing,Mass Customer,N,No,1
105,106,Glyn,,M,54,-110419200000000000,Software Test Engineer III,Health,High Net Worth,N,Yes,18
106,107,Pris,Stallebrass,F,97,646790400000000000,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9
107,108,Kayle,Mingaud,F,4,763603200000000000,Business Systems Development Analyst,Manufacturing,High Net Worth,N,No,3
108,109,Cody,Blabey,M,16,282182400000000000,Marketing Assistant,Manufacturing,Affluent Customer,N,Yes,4
109,110,Sascha,St. Quintin,M,23,965001600000000000,Business Systems Development Analyst,Financial Services,Affluent Customer,N,No,1
110,111,Cele,Evason,F,65,746582400000000000,Analyst Programmer,Manufacturing,Mass Customer,N,No,2
111,112,Shena,Parren,F,88,177033600000000000,Marketing Manager,Retail,High Net Worth,N,No,12
112,113,Gage,Nickless,M,67,-430963200000000000,Staff Scientist,Manufacturing,Mass Customer,N,No,20
113,114,Sunny,Swindells,F,10,498873600000000000,Teacher,Entertainment,Affluent Customer,N,No,8
114,115,Alberik,Mereweather,M,77,377740800000000000,Account Executive,Health,Mass Customer,N,No,18
115,116,Scottie,Swiffen,M,49,918172800000000000,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2
116,117,Nance,Suttling,F,75,383270400000000000,Marketing Manager,Manufacturing,Mass Customer,N,No,15
117,118,Prentice,Pearmain,M,43,-319939200000000000,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,No,19
118,119,Willey,Chastanet,M,9,376272000000000000,Associate Professor,Manufacturing,High Net Worth,N,Yes,9
119,120,Sloan,Wagg,M,80,273542400000000000,Legal Assistant,Financial Services,High Net Worth,N,Yes,4
120,121,Myles,Pauncefort,M,82,-386553600000000000,Graphic Designer,Manufacturing,Mass Customer,N,No,15
121,122,Colver,Itter,M,87,293328000000000000,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12
122,123,Almeta,Kalinsky,F,85,597110400000000000,Analyst Programmer,Financial Services,High Net Worth,N,No,15
123,124,Kath,Cunney,F,27,799459200000000000,Administrative Assistant II,Health,High Net Worth,N,Yes,5
124,125,Darrelle,Antoniewski,F,94,-309052800000000000,Computer Systems Analyst II,Property,Mass Customer,N,No,16
125,126,Norman,Cliff,M,53,719107200000000000,Administrative Officer,Health,Mass Customer,N,Yes,3
126,127,Merrili,Whitear,F,81,155260800000000000,Compensation Analyst,Financial Services,Mass Customer,N,No,19
127,128,Isidro,Cypler,M,73,237945600000000000,Systems Administrator III,Property,Mass Customer,N,Yes,12
128,129,Weidar,Silkstone,M,64,490665600000000000,Financial Advisor,Financial Services,High Net Worth,N,Yes,19
129,130,Raddy,Delete,M,32,869184000000000000,Chemical Engineer,Manufacturing,Mass Customer,N,No,1
130,131,Jana,Renyard,F,57,-164419200000000000,Administrative Officer,Retail,High Net Worth,N,No,8
131,132,Celesta,Willavoys,F,5,-204768000000000000,Web Designer I,Manufacturing,Mass Customer,N,Yes,9
132,133,Eldridge,Fiddeman,M,12,235008000000000000,VP Accounting,Financial Services,Mass Customer,N,Yes,16
133,134,Merna,McCulloch,F,34,870393600000000000,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5
134,135,Rosalia,Sigart,F,18,159235200000000000,Internal Auditor,IT,Mass Customer,N,No,3
135,136,Mel,Bennet,M,46,107222400000000000,Senior Developer,Manufacturing,High Net Worth,N,Yes,7
136,137,Vaughn,Artin,M,27,564451200000000000,Office Assistant II,Property,High Net Worth,N,No,10
137,138,Onofredo,Franc,M,5,483494400000000000,Recruiter,Financial Services,Affluent Customer,N,Yes,13
138,139,Gar,,M,1,-171331200000000000,Operator,Telecommunications,Affluent Customer,N,No,4
139,140,Morrie,Flaxon,M,9,769392000000000000,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2
140,141,Townsend,Trobe,M,67,-489801600000000000,Teacher,Financial Services,High Net Worth,N,Yes,10
141,142,Bentley,Fortesquieu,M,57,-75859200000000000,Quality Engineer,Health,Affluent Customer,N,No,17
142,143,Kendall,Figg,M,19,-389232000000000000,Operator,Argiculture,Mass Customer,N,Yes,11
143,144,Jory,Barrabeale,U,71,1977-7-12,Environmental Tech,IT,Mass Customer,N,No,0
144,145,Filippo,Ferrara,M,33,869443200000000000,Account Executive,Financial Services,Mass Customer,N,No,4
145,146,Ricoriki,Matlock,M,34,481766400000000000,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8
146,147,Rea,Pattrick,F,32,123984000000000000,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10
147,148,Jaquith,Maffey,F,69,358128000000000000,Programmer Analyst III,Manufacturing,Mass Customer,N,Yes,5
148,149,Drucy,Kausche,F,41,791510400000000000,Research Nurse,Health,Mass Customer,N,Yes,1
149,150,Bradly,Crosse,M,6,430444800000000000,Cost Accountant,Financial Services,Affluent Customer,N,No,17
150,151,Donnie,Brimson,M,36,-155174400000000000,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13
151,152,Stephana,Cardew,F,5,352425600000000000,Compensation Analyst,Financial Services,Mass Customer,N,No,16
152,153,Lorilyn,Walshe,F,73,238896000000000000,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12
153,154,Faydra,Dulieu,F,90,-374976000000000000,Junior Executive,Manufacturing,Mass Customer,N,No,11
154,155,Orran,Bogges,M,4,504576000000000000,Quality Engineer,Manufacturing,Mass Customer,N,No,10
155,156,Shayla,Rimmington,F,23,305683200000000000,Cost Accountant,Financial Services,Mass Customer,N,Yes,11
156,157,Chad,Houtby,M,97,154396800000000000,Financial Advisor,Financial Services,Affluent Customer,N,No,16
157,158,Hamlin,Odams,M,99,463017600000000000,Internal Auditor,Manufacturing,Affluent Customer,N,No,5
158,159,Arin,Matskevich,M,90,547776000000000000,Research Nurse,Health,Affluent Customer,N,No,13
159,160,Wake,Durning,M,5,-172454400000000000,Registered Nurse,Health,Mass Customer,N,No,18
160,161,Tadd,Bloss,M,49,191030400000000000,Business Systems Development Analyst,Manufacturing,Mass Customer,N,No,16
161,162,Port,Acuna,M,90,303264000000000000,Nurse Practicioner,IT,Mass Customer,N,No,15
162,163,Kessia,Helder,F,58,210816000000000000,Librarian,Entertainment,High Net Worth,N,Yes,14
163,164,Aarika,Van Vuuren,F,55,933984000000000000,Senior Editor,Retail,Affluent Customer,N,Yes,1
164,165,Aldon,Roelofs,M,61,449020800000000000,Administrative Officer,Argiculture,Mass Customer,N,Yes,12
165,166,Elston,Oleszczak,M,54,-459388800000000000,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6
166,167,Nathalie,Tideswell,F,95,-5702400000000000,Business Systems Development Analyst,Health,High Net Worth,N,Yes,17
167,168,Reggie,Broggetti,U,8,1977-7-12,General Manager,IT,Affluent Customer,N,Yes,0
168,169,Alfy,Bruhnke,M,20,-385084800000000000,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5
169,170,Jammal,Gever,M,80,170899200000000000,Pharmacist,Health,High Net Worth,N,No,21
170,171,Halli,Davidoff,F,62,29116800000000000,Assistant Manager,Manufacturing,Mass Customer,N,No,10
171,172,Hilton,Carney,M,54,590025600000000000,Editor,Manufacturing,Affluent Customer,N,Yes,6
172,173,Ebba,Hanselmann,F,99,852163200000000000,General Manager,Health,Affluent Customer,N,No,1
173,174,Catie,Tosspell,F,93,628041600000000000,Food Chemist,Health,Mass Customer,N,No,12
174,175,Templeton,Hambrook,M,36,186364800000000000,Quality Engineer,Manufacturing,Affluent Customer,N,No,5
175,176,Angelo,Clayal,M,39,703123200000000000,Accountant I,Property,Mass Customer,N,No,10
176,177,Ondrea,Pablos,F,25,626572800000000000,Professor,Financial Services,High Net Worth,N,No,4
177,178,Matthieu,Bertelmot,M,2,-86745600000000000,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,No,8
178,179,Esteban,Sewill,M,23,-114998400000000000,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6
179,180,Trisha,Neasham,F,16,53913600000000000,Web Designer III,Argiculture,Affluent Customer,N,No,14
180,181,Pavla,Braunle,F,49,406684800000000000,Senior Editor,Manufacturing,Mass Customer,N,No,9
181,182,Lydon,Dahlman,M,99,722217600000000000,Sales Associate,Financial Services,Affluent Customer,N,Yes,7
182,183,Dannie,Hissie,F,7,870739200000000000,Geologist III,Retail,Affluent Customer,N,No,3
183,184,Nappie,Paolo,M,40,61430400000000000,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7
184,185,Crosby,Walcot,M,80,313891200000000000,Business Systems Development Analyst,Property,Mass Customer,N,Yes,13
185,186,Mireielle,Jeppe,F,46,137030400000000000,Software Test Engineer I,Financial Services,Mass Customer,N,No,3
186,187,Pincas,Ather,M,97,-502588800000000000,Structural Engineer,Manufacturing,Mass Customer,N,No,11
187,188,Audry,Seine,F,54,172627200000000000,Safety Technician II,Property,High Net Worth,N,Yes,13
188,189,Umberto,Torricella,M,73,364348800000000000,Safety Technician I,Financial Services,Affluent Customer,N,No,10
189,190,Hayley,Girardengo,F,42,286934400000000000,Registered Nurse,Health,Affluent Customer,N,No,10
190,191,Christopher,Heining,M,22,-305510400000000000,Help Desk Operator,Manufacturing,Affluent Customer,N,Yes,6
191,192,Goldi,Osler,F,2,280281600000000000,Junior Executive,Health,Mass Customer,N,Yes,8
192,193,Foss,Hardes,M,13,-171849600000000000,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12
193,194,Ursala,Ferrai,F,4,153792000000000000,Web Developer III,Financial Services,Affluent Customer,N,No,10
194,195,Talyah,Rylatt,F,34,-351302400000000000,Project Manager,Manufacturing,Mass Customer,N,No,6
195,196,Swen,Odhams,M,90,-121737600000000000,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6
196,197,Avis,,F,32,223171200000000000,Business Systems Development Analyst,Manufacturing,High Net Worth,N,No,5
197,198,Vanya,Gumb,F,82,375840000000000000,Assistant Media Planner,Entertainment,Mass Customer,N,No,16
198,199,Verla,Alven,F,61,256176000000000000,Junior Executive,Health,Mass Customer,N,Yes,21
199,200,Hube,Weald,M,7,-407289600000000000,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19
200,201,Salem,Huie,M,45,-116812800000000000,Design Engineer,Manufacturing,Mass Customer,N,Yes,11
201,202,Audie,Pillinger,F,38,-205891200000000000,Librarian,Entertainment,Affluent Customer,N,Yes,16
202,203,Donovan,Conry,M,71,-188352000000000000,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11
203,204,Thorny,Hackworth,M,56,212976000000000000,Editor,Financial Services,Mass Customer,N,No,5
204,205,Rolfe,Kellard,M,18,-349833600000000000,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6
205,206,Mari,Chevolleau,F,98,-487728000000000000,Statistician I,Manufacturing,Mass Customer,N,Yes,14
206,207,Adena,Whyman,F,9,776476800000000000,Business Systems Development Analyst,Manufacturing,Mass Customer,N,No,7
207,208,Rutter,Excell,M,57,783561600000000000,Office Assistant III,Property,High Net Worth,N,No,5
208,209,Udall,Bellard,M,9,-389577600000000000,Analog Circuit Design manager,Manufacturing,Affluent Customer,N,Yes,6
209,210,Albrecht,Thomasson,M,50,-193190400000000000,Assistant Manager,Property,Mass Customer,N,No,18
210,211,Beitris,,F,6,131587200000000000,VP Marketing,Manufacturing,Mass Customer,N,Yes,5
211,212,Nanice,Ellse,F,21,1006128000000000000,Desktop Support Technician,IT,Affluent Customer,N,No,1
212,213,Lockwood,Exroll,M,13,832032000000000000,Actuary,Financial Services,High Net Worth,N,Yes,6
213,214,Jeramie,Cellier,M,82,-381542400000000000,Food Chemist,Health,Mass Customer,N,No,6
214,215,Debera,Foxworthy,F,37,141264000000000000,Assistant Professor,Retail,High Net Worth,N,Yes,18
215,216,Cinderella,Parcall,F,12,789868800000000000,Quality Engineer,Financial Services,High Net Worth,N,Yes,7
216,217,Jeralee,Quartly,F,63,313545600000000000,Business Systems Development Analyst,Manufacturing,High Net Worth,N,No,16
217,218,Stefa,Dunnan,F,37,744595200000000000,Administrative Officer,Property,High Net Worth,N,Yes,8
218,219,Markus,Mughal,M,9,-160963200000000000,Database Administrator III,Health,Mass Customer,N,No,7
219,220,Jeniffer,Apark,F,79,-493776000000000000,Electrical Engineer,Manufacturing,High Net Worth,N,No,9
220,221,Mara,Bloore,F,14,321494400000000000,Tax Accountant,Manufacturing,Mass Customer,N,No,14
221,222,Nev,Larive,M,89,273628800000000000,Clinical Specialist,Health,Mass Customer,N,No,16
222,223,Ossie,Meaton,M,13,438652800000000000,VP Sales,Manufacturing,Affluent Customer,N,Yes,14
223,224,Morgun,Girvan,M,2,-65664000000000000,Compensation Analyst,Financial Services,Affluent Customer,N,No,17
224,225,Brittaney,Pring,F,84,226886400000000000,Pharmacist,Health,Affluent Customer,N,No,13
225,226,Bondie,Letty,M,96,248054400000000000,Database Administrator IV,Manufacturing,Mass Customer,N,No,20
226,227,Wendall,McKeand,M,99,114134400000000000,Accountant I,Entertainment,Mass Customer,N,No,18
227,228,Lucia,Pickervance,F,59,517363200000000000,Systems Administrator II,Manufacturing,High Net Worth,N,No,12
228,229,Vaughn,Lambis,M,30,-120700800000000000,Business Systems Development Analyst,Property,High Net Worth,N,No,19
229,230,Maegan,Scyone,F,74,-489888000000000000,Internal Auditor,Property,High Net Worth,N,No,11
230,231,Basile,Winsor,M,48,807580800000000000,Design Engineer,Financial Services,Mass Customer,N,Yes,3
231,232,Zaria,Koeppke,F,94,563587200000000000,Professor,Retail,Mass Customer,N,No,12
232,233,Art,Barwell,M,34,523843200000000000,Environmental Tech,Property,Mass Customer,N,No,13
233,234,Mead,Alpes,F,71,-12268800000000000,Chief Design Engineer,Retail,High Net Worth,N,No,12
234,235,Leona,Phateplace,F,30,220406400000000000,Social Worker,Health,Mass Customer,N,No,15
235,236,Tybalt,Gillingwater,M,79,-478828800000000000,Research Nurse,Health,Affluent Customer,N,No,14
236,237,Reginald,Dartan,M,18,131846400000000000,Account Coordinator,Property,High Net Worth,N,Yes,11
237,238,Max,Bilborough,M,54,444700800000000000,Programmer III,Manufacturing,Mass Customer,N,Yes,14
238,239,Wells,Pressman,M,62,724204800000000000,Registered Nurse,Health,Affluent Customer,N,No,3
239,240,Gavin,Fawks,M,49,617587200000000000,Administrative Assistant III,IT,High Net Worth,N,Yes,15
240,241,Quillan,Duigan,M,94,547516800000000000,Quality Engineer,Entertainment,Mass Customer,N,No,20
241,242,Taite,Droghan,M,17,701049600000000000,Nurse,Property,Affluent Customer,N,No,8
242,243,Barbara,Croxley,F,94,210470400000000000,Teacher,Manufacturing,High Net Worth,N,Yes,14
243,244,Germayne,Sperry,M,57,154569600000000000,Business Systems Development Analyst,Retail,Affluent Customer,N,No,8
244,245,Noell,Grahlmans,F,6,1001462400000000000,Associate Professor,Financial Services,Affluent Customer,N,No,1
245,246,Binny,Whight,F,63,667699200000000000,Technical Writer,Manufacturing,High Net Worth,N,No,9
246,247,Kristal,Joysey,F,62,421027200000000000,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13
247,248,Inger,Eskell,F,76,261446400000000000,Clinical Specialist,Health,Affluent Customer,N,Yes,12
248,249,D'arcy,Slay,M,65,716342400000000000,Quality Control Specialist,IT,High Net Worth,N,No,9
249,250,Kristofer,,M,53,577065600000000000,Legal Assistant,Health,Mass Customer,N,Yes,13
250,251,Mala,,F,88,251769600000000000,VP Sales,Financial Services,Affluent Customer,N,Yes,10
251,252,Anthea,Ruskin,F,39,412214400000000000,Account Coordinator,Property,Mass Customer,N,Yes,13
252,253,Amalee,Choak,F,82,863308800000000000,Food Chemist,Health,Mass Customer,N,Yes,1
253,254,Barbie,Rubi,F,98,-261187200000000000,Information Systems Manager,Retail,Mass Customer,N,No,14
254,255,Keeley,Kruger,F,2,-503712000000000000,Desktop Support Technician,IT,Mass Customer,N,No,5
255,256,Linell,Beadle,F,16,168652800000000000,Director of Sales,Health,High Net Worth,N,Yes,21
256,257,Marissa,,F,70,-122947200000000000,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19
257,258,Othella,Keher,F,24,704851200000000000,Administrative Officer,Manufacturing,High Net Worth,N,No,9
258,259,Venita,Dymick,F,70,427680000000000000,Senior Developer,Health,High Net Worth,N,Yes,3
259,260,Farand,Marriner,F,47,304819200000000000,Senior Quality Engineer,Health,High Net Worth,N,Yes,22
